183;Athletic Club;23;18600.0;12750.0;12950.0
184;Atlético Madrid;28;87700.0;68600.0;65900.0
185;Leganés;20;10600.0;12100.0;14850.0
186;Alavés;-1;7300.0;7300.0;7800.0
187;Barcelona;30;135100.0;101450.0;92550.0
188;Getafe;18;11850.0;15000.0;16750.0
189;Girona;24;10800.0;11100.0;11650.0
190;Levante;-1;10050.0;9550.0;10850.0
191;Málaga;20;9050.0;7650.0;9450.0
192;Celta;18;10550.0;8650.0;10450.0
193;Deportivo;-1;12450.0;9800.0;10100.0
194;Espanyol;23;12300.0;9950.0;11150.0
195;Real Betis;17;10250.0;12800.0;9950.0
196;Real Madrid;32;145100.0;112300.0;99400.0
197;Real Sociedad;-1;14650.0;12250.0;13100.0
198;Eibar;20;9250.0;7950.0;8300.0
199;Sevilla;29;16400.0;14800.0;15550.0
200;Las Palmas;-1;11450.0;10000.0;10300.0
201;Valencia;27;17350.0;14000.0;14250.0
202;Villarreal;23;13600.0;10450.0;11550.0
