287;Atalanta;20;12600.0;7200.0;8150.0
288;Benevento;-1;39500.0;20700.0;25050.0
289;Bologna;20;10000.0;7500.0;8700.0
290;Cagliari;24;14850.0;9200.0;9500.0
291;Chievo Verona;24;11550.0;8800.0;8450.0
292;Crotone;6;14250.0;8000.0;10650.0
293;Fiorentina;20;10000.0;6950.0;9150.0
294;Genoa;-1;12200.0;9250.0;10350.0
295;Hellas Verona;-1;23050.0;12750.0;13200.0
296;Inter;-1;15750.0;11750.0;13650.0
297;Juventus;28;57800.0;44350.0;42750.0
298;Lazio;23;10550.0;11150.0;10050.0
299;Milan;23;12600.0;11200.0;10300.0
300;Napoli;23;16600.0;15850.0;14800.0
301;Roma;28;23350.0;15600.0;16350.0
302;Sampdoria;24;20050.0;8250.0;8350.0
303;Sassuolo;18;14450.0;8300.0;10750.0
304;Spal;4;9550.0;7700.0;10750.0
305;Torino;23;15600.0;11250.0;10050.0
306;Udinese;18;13500.0;8200.0;8550.0
