19;Akhmat;6;8200.0;4800.0;5300.0
20;Amkar;6;11150.0;6400.0;8000.0
21;Anzhi;5;10050.0;9250.0;9150.0
22;CSKA;20;7950.0;6300.0;6000.0
23;Dinamo;5;7550.0;7550.0;8400.0
24;FC Rostov;-1;20950.0;11250.0;18750.0
25;Khabarovsk;-1;8450.0;6750.0;5850.0
26;Krasnodar;24;9000.0;8700.0;5350.0
27;Lokomotiv;18;8600.0;6600.0;6450.0
28;R. Kazan;24;20400.0;13650.0;11000.0
29;Spartak;18;7850.0;5850.0;6100.0
30;Tosno;-1;13200.0;9400.0;10800.0
31;Tula;6;7000.0;4300.0;3900.0
32;Ufa;5;8350.0;5800.0;5600.0
33;Ural;-1;6750.0;5200.0;4550.0
34;Zenit;23;11050.0;9250.0;10700.0
