145;Amiens SC;-1;8700.0;7550.0;7100.0
146;Angers SCO;18;14350.0;9650.0;11700.0
147;AS Monaco;-1;16450.0;11850.0;12450.0
148;ASSE;20;9600.0;6950.0;7850.0
149;Dijon FCO;6;7700.0;6200.0;8100.0
150;EAG;24;13800.0;9500.0;9700.0
151;ESTAC;6;8800.0;6600.0;7350.0
152;FC Metz;-1;8250.0;7950.0;6150.0
153;FC Nantes;-1;10500.0;9200.0;9050.0
154;Girondins;-1;15350.0;11100.0;12050.0
155;LOSC Lille;-1;53000.0;34150.0;35850.0
156;MHSC;24;12750.0;11950.0;13400.0
157;OGC Nice;18;9950.0;7750.0;9250.0
158;OL;20;10850.0;8600.0;9650.0
159;OM;29;16550.0;14950.0;13300.0
160;Paris;29;21650.0;16800.0;16800.0
161;SM Caen;18;10550.0;8400.0;9800.0
162;SRFC;24;14400.0;10750.0;11700.0
163;Strasbourg;18;12050.0;9600.0;9850.0
164;TFC;20;10200.0;8300.0;8450.0
