307;1. FC Köln;20;15900.0;8800.0;9600.0
308;1. FSV Mainz 05;20;9500.0;7000.0;8300.0
309;Bayer 04 Leverkusen;23;15650.0;9350.0;12000.0
310;Bayern München;28;83000.0;60950.0;58750.0
311;Borussia Dortmund;29;12700.0;13950.0;14550.0
312;Borussia M'gladbach;23;13350.0;10200.0;10850.0
313;Eintracht Frankfurt;20;17800.0;26150.0;34250.0
314;FC Augsburg;-1;11250.0;8400.0;8600.0
315;FC Schalke 04;20;12700.0;10600.0;12800.0
316;Hamburger SV;-1;9000.0;6600.0;7000.0
317;Hannover 96;-1;15900.0;9100.0;9550.0
318;Hertha BSC;-1;10850.0;10050.0;10000.0
319;RB Leipzig;20;10650.0;7550.0;8900.0
320;SC Freiburg;-1;13250.0;7950.0;10100.0
321;TSG 1899 Hoffenheim;-1;12550.0;10400.0;11900.0
322;VfB Stuttgart;-1;11950.0;10000.0;11500.0
323;VfL Wolfsburg;22;10300.0;9250.0;9750.0
324;Werder Bremen;-1;11200.0;10700.0;11650.0
