51;Arsenal;27;61100.0;49300.0;50700.0
52;Bournemouth;20;10500.0;9350.0;10500.0
53;Brighton;18;11250.0;9500.0;12350.0
54;Burnley;-1;12900.0;8850.0;11350.0
55;Chelsea;29;55700.0;42900.0;44100.0
56;Crystal Palace;20;11600.0;11050.0;12450.0
57;Everton;23;17950.0;12800.0;13450.0
58;Hudd'field;-1;9700.0;13500.0;12700.0
59;Leicester;17;8050.0;9000.0;9200.0
60;Liverpool;29;80200.0;61100.0;58850.0
61;Manchester City;27;61300.0;46400.0;44000.0
62;Manchester United;28;60500.0;42100.0;42900.0
63;Newcastle;24;10150.0;11050.0;11100.0
64;Southampton;17;13350.0;6900.0;9250.0
65;Spurs;29;40450.0;32050.0;32400.0
66;Stoke City;20;9700.0;8450.0;10000.0
67;Swansea;18;10600.0;8850.0;8350.0
68;Watford;23;13750.0;10200.0;10000.0
69;West Brom;17;10200.0;8700.0;10100.0
70;West Ham;-1;14900.0;7900.0;8550.0
