1;Akhisarspor;5;8300.0;4850.0;5150.0
2;Alanyaspor;-1;6100.0;4100.0;4600.0
3;Antalyaspor;24;16700.0;12900.0;13650.0
4;Başakşehir;18;11700.0;7250.0;8400.0
5;Beşiktaş;23;14300.0;10000.0;10200.0
6;Bursaspor;-1;7900.0;6750.0;6050.0
7;Fenerbahçe;23;9250.0;7600.0;7200.0
8;Galatasaray;22;13500.0;9900.0;10200.0
9;Gençlerbirliği;-1;5100.0;7700.0;4950.0
10;Göztepe;-1;11150.0;6350.0;6800.0
11;Karabükspor;24;45900.0;32900.0;38200.0
12;Kasimpaşa;6;8600.0;5500.0;6100.0
13;Kayserispor;24;11550.0;10450.0;9600.0
14;Konyaspor;-1;8050.0;4000.0;5550.0
15;Malatyaspor;6;8000.0;4500.0;5900.0
16;Osmanlıspor;18;13700.0;8350.0;11600.0
17;Sivasspor;-1;8900.0;5250.0;7250.0
18;Trabzonspor;20;11550.0;7900.0;7800.0
