203;América;20;17400.0;8450.0;8650.0
204;Atlas;5;7650.0;6050.0;7550.0
205;Cruz Azul;24;16750.0;12900.0;11350.0
206;Guadalajara;20;12650.0;7900.0;10900.0
207;León;18;10550.0;7650.0;9900.0
208;Lobos;6;7950.0;6100.0;10850.0
209;Monarcas;24;12650.0;13350.0;15150.0
210;Monterrey;22;15350.0;10800.0;10500.0
211;Necaxa;-1;5800.0;4400.0;5650.0
212;Pachuca;18;8200.0;7050.0;7100.0
213;Puebla;-1;13800.0;4200.0;7250.0
214;Querétaro;6;7000.0;5150.0;8150.0
215;Santos;18;14550.0;7350.0;11300.0
216;Tigres;23;9500.0;7950.0;8250.0
217;Tijuana;-1;7300.0;5700.0;7700.0
218;Toluca;24;19600.0;13500.0;12650.0
219;U.N.A.M.;6;8000.0;5350.0;6100.0
220;Veracruz;5;6850.0;3800.0;5600.0
